algorithm,size,obstacle_rate,seed,found,path_cost,visited_nodes,runtime_ms
A*,200,0.2,1,False,,31749,49.58083349629305
Dijkstra,200,0.2,2,True,398,31924,35.74899999512127
A*,200,0.2,2,True,398,20377,32.20385399617953
Dijkstra,200,0.2,3,True,398,31954,35.89181249844842
A*,200,0.2,3,True,398,21086,34.24575000099139
Dijkstra,200,0.2,4,False,,1,0.0005840120138600469
A*,200,0.2,4,False,,1,0.0005420006345957518
Dijkstra,200,0.2,5,True,398,32130,35.90085449832259
A*,200,0.2,5,True,398,19909,30.987541998911183
Dijkstra,200,0.2,6,True,398,31911,35.67735449178144
A*,200,0.2,6,True,398,19958,31.696853999164887
Dijkstra,200,0.2,7,False,,1,0.0006250047590583563
A*,200,0.2,7,False,,1,0.0005629990482702851
Dijkstra,200,0.2,8,True,398,31800,35.26833299838472
A*,200,0.2,8,True,398,15416,23.43031250347849
Dijkstra,200,0.2,9,True,398,31839,35.79268699832028
A*,200,0.2,9,True,398,21852,34.92397900117794
Dijkstra,200,0.2,10,True,398,31949,35.56212500552647
A*,200,0.2,10,True,398,18800,29.484790997230448
Dijkstra,200,0.2,11,True,400,31842,35.8881454958464
A*,200,0.2,11,True,400,23035,35.946687501564156
Dijkstra,200,0.2,12,True,398,31912,36.18181300407741
A*,200,0.2,12,True,398,20440,31.707771006040275
Dijkstra,200,0.2,13,True,398,31940,35.772104500210844
A*,200,0.2,13,True,398,17332,27.123479507281445
Dijkstra,200,0.2,14,True,398,31968,35.55774950655177
A*,200,0.2,14,True,398,19733,30.865291999361943
Dijkstra,200,0.2,15,True,398,31969,35.86531300243223
A*,200,0.2,15,True,398,20946,32.91162449750118
Dijkstra,200,0.2,16,True,398,31838,36.05077150132274
A*,200,0.2,16,True,398,14052,21.51822849555174
Dijkstra,200,0.2,17,False,,31858,35.60968750389293
A*,200,0.2,17,False,,31858,48.782187506731134
Dijkstra,200,0.2,18,True,398,31781,35.38002100685844
A*,200,0.2,18,True,398,21104,33.41885400004685
Dijkstra,200,0.2,19,True,398,31813,36.65224999713246
A*,200,0.2,19,True,398,18547,28.768854499503504
Dijkstra,200,0.2,20,True,398,31844,35.99091699288692
A*,200,0.2,20,True,398,17149,26.708624995080754
Dijkstra,200,0.2,21,True,398,31930,35.80402049556142
A*,200,0.2,21,True,398,20025,31.339708497398533
Dijkstra,200,0.2,22,True,398,31964,36.08054149663076
A*,200,0.2,22,True,398,20066,31.55481249996228
Dijkstra,200,0.2,23,True,398,31884,35.9931665007025
A*,200,0.2,23,True,398,18659,28.81681200233288
Dijkstra,200,0.2,24,True,398,31858,35.75906249898253
A*,200,0.2,24,True,398,20494,32.278250000672415
Dijkstra,200,0.2,25,True,398,32072,35.85743700386956
A*,200,0.2,25,True,398,18998,29.50137550215004
Dijkstra,200,0.2,26,True,398,31881,35.861624499375466
A*,200,0.2,26,True,398,17540,26.95022900297772
Dijkstra,200,0.2,27,False,,32054,36.111333494773135
A*,200,0.2,27,False,,32054,49.074499496782664
Dijkstra,200,0.2,28,False,,1,0.0006249974831007421
A*,200,0.2,28,False,,1,0.000583502696827054
Dijkstra,200,0.2,29,True,398,31894,36.132208500930574
A*,200,0.2,29,True,398,18991,29.547645499405917
Dijkstra,200,0.3,0,True,400,27451,31.02429150021635
A*,200,0.3,0,True,400,5996,8.81364550878061
Dijkstra,200,0.3,1,False,,27227,29.84170799754793
A*,200,0.3,1,False,,27227,40.68150000239257
Dijkstra,200,0.3,2,False,,27306,30.016874996363185
A*,200,0.3,2,False,,27306,40.04539550078334
Dijkstra,200,0.3,3,True,400,27545,30.56002049561357
A*,200,0.3,3,True,400,4341,6.098104495322332
Dijkstra,200,0.3,4,False,,1,0.0006044938345439732
A*,200,0.3,4,False,,1,0.0005830079317092896
Dijkstra,200,0.3,5,True,400,27608,30.190853496605996
A*,200,0.3,5,True,400,5116,7.452187506714836
